,insegna,LONG_WGS84,LAT_WGS84,geopoint
123,sugar lounge,9.18595145189,45.4911491123,"{'type': 'Point', 'coordinates': ['9.18595145189', '45.4911491123']}"
124,VIRGIN CAFE',9.1777512684,45.4498271295,"{'type': 'Point', 'coordinates': ['9.1777512684', '45.4498271295']}"
125,bar visconti,9.20655163189,45.4470547158,"{'type': 'Point', 'coordinates': ['9.20655163189', '45.4470547158']}"
126,202,9.17382039499688,45.4568126309605,"{'type': 'Point', 'coordinates': ['9.17382039499688', '45.4568126309605']}"
127,connie douglas residence,9.17392401684,45.4413578724,"{'type': 'Point', 'coordinates': ['9.17392401684', '45.4413578724']}"
128,sharm el sheik,9.23212536974791,45.4552043425859,"{'type': 'Point', 'coordinates': ['9.23212536974791', '45.4552043425859']}"
129,taverna del gran sasso,9.1931888013,45.4802694837,"{'type': 'Point', 'coordinates': ['9.1931888013', '45.4802694837']}"
130,ganas,9.18726263841,45.4812220249,"{'type': 'Point', 'coordinates': ['9.18726263841', '45.4812220249']}"
131,fc cafe,9.20023708171,45.4891363617,"{'type': 'Point', 'coordinates': ['9.20023708171', '45.4891363617']}"
132,RISTORANTE SOTTO SOPRA,9.21179510718,45.5159304182,"{'type': 'Point', 'coordinates': ['9.21179510718', '45.5159304182']}"
133,galleria,null,null,
134,spazio teatro 89,9.10943471365,45.471131259,"{'type': 'Point', 'coordinates': ['9.10943471365', '45.471131259']}"
135,antico bar,9.18883387019,45.4809213422,"{'type': 'Point', 'coordinates': ['9.18883387019', '45.4809213422']}"
136,entropia,9.17671914139,45.459511109,"{'type': 'Point', 'coordinates': ['9.17671914139', '45.459511109']}"
137,caffe il moro,9.20004469881,45.4629881099,"{'type': 'Point', 'coordinates': ['9.20004469881', '45.4629881099']}"
138,pentesilea,9.17675452905,45.4786461861,"{'type': 'Point', 'coordinates': ['9.17675452905', '45.4786461861']}"
139,pane e farina,9.19141895618,45.4598352681,"{'type': 'Point', 'coordinates': ['9.19141895618', '45.4598352681']}"
140,spazio fitzcarraldo,9.20134571749,45.4522832598,"{'type': 'Point', 'coordinates': ['9.20134571749', '45.4522832598']}"
141,PELLEDOCA,9.26754005567,45.4620159969,"{'type': 'Point', 'coordinates': ['9.26754005567', '45.4620159969']}"
142,GELATERIA BERTESAGO,null,null,
143,osteria bel sit,9.14976255345,45.4332109418,"{'type': 'Point', 'coordinates': ['9.14976255345', '45.4332109418']}"
144,AMNESIA,9.24076579579,45.4631101648,"{'type': 'Point', 'coordinates': ['9.24076579579', '45.4631101648']}"
145,VOLT,9.18409173969,45.4570983952,"{'type': 'Point', 'coordinates': ['9.18409173969', '45.4570983952']}"
146,OLD FASHION CAFE',9.17358277096,45.4722116812,"{'type': 'Point', 'coordinates': ['9.17358277096', '45.4722116812']}"
147,nidaba,9.17575753865,45.448986319,"{'type': 'Point', 'coordinates': ['9.17575753865', '45.448986319']}"
148,bar caffe doria,9.21165574468,45.4854182058,"{'type': 'Point', 'coordinates': ['9.21165574468', '45.4854182058']}"
149,venus,9.18940653455,45.4626308186,"{'type': 'Point', 'coordinates': ['9.18940653455', '45.4626308186']}"
150,HOLLYWOOD,9.18722592336,45.4826225026,"{'type': 'Point', 'coordinates': ['9.18722592336', '45.4826225026']}"
151,pietro caccialanza,9.22831656859,45.4951998555,"{'type': 'Point', 'coordinates': ['9.22831656859', '45.4951998555']}"
152,WILLIAM'S,9.19554201763,45.4770362746,"{'type': 'Point', 'coordinates': ['9.19554201763', '45.4770362746']}"
153,THE CLUB,null,null,
154,DISTRICT 272 (ex STREAPTEASE),9.2453423184,45.5075796741,"{'type': 'Point', 'coordinates': ['9.2453423184', '45.5075796741']}"
155,al 113,9.16048564295,45.4483921466,"{'type': 'Point', 'coordinates': ['9.16048564295', '45.4483921466']}"
156,sayonara american piano bar,9.16012969091,45.4723936121,"{'type': 'Point', 'coordinates': ['9.16012969091', '45.4723936121']}"
157,old camillo s pub,9.17779226947,45.4500022626,"{'type': 'Point', 'coordinates': ['9.17779226947', '45.4500022626']}"
158,ippodromo del trotto,null,null,
159,crazy bull cafe,9.19382753297,45.4646022735,"{'type': 'Point', 'coordinates': ['9.19382753297', '45.4646022735']}"
160,ristorante latino americano caribe,9.21644724718,45.4383476426,"{'type': 'Point', 'coordinates': ['9.21644724718', '45.4383476426']}"
161,frida cafe,9.18731807202,45.4886742764,"{'type': 'Point', 'coordinates': ['9.18731807202', '45.4886742764']}"
162,la grotta,9.1797531269,45.5030104531,"{'type': 'Point', 'coordinates': ['9.1797531269', '45.5030104531']}"
163,OSTERIALNOVE,9.18874159738,45.4918586082,"{'type': 'Point', 'coordinates': ['9.18874159738', '45.4918586082']}"
164,EL BRELLIN,9.17505814578,45.4519510151,"{'type': 'Point', 'coordinates': ['9.17505814578', '45.4519510151']}"
165,out off,9.15809675336,45.4927649046,"{'type': 'Point', 'coordinates': ['9.15809675336', '45.4927649046']}"
166,s. domingo,null,null,
167,EXTASIA,9.19836307043,45.4634710942,"{'type': 'Point', 'coordinates': ['9.19836307043', '45.4634710942']}"
168,CRISTAL,9.17791455687,45.4505028827,"{'type': 'Point', 'coordinates': ['9.17791455687', '45.4505028827']}"
169,nepentha,9.19040723452,45.4625418289,"{'type': 'Point', 'coordinates': ['9.19040723452', '45.4625418289']}"
170,caveau montmartre,9.18550782215,45.4718627047,"{'type': 'Point', 'coordinates': ['9.18550782215', '45.4718627047']}"
171,RICCI,9.1986252712,45.480929637,"{'type': 'Point', 'coordinates': ['9.1986252712', '45.480929637']}"
172,LE ROI DE MILAN,9.20651257402,45.4844847465,"{'type': 'Point', 'coordinates': ['9.20651257402', '45.4844847465']}"
173,tombino,9.15282979749,45.4609369598,"{'type': 'Point', 'coordinates': ['9.15282979749', '45.4609369598']}"
174,tunnel,9.20901778026,45.4921946614,"{'type': 'Point', 'coordinates': ['9.20901778026', '45.4921946614']}"
175,LA BANQUE,9.18695126461,45.4661768607,"{'type': 'Point', 'coordinates': ['9.18695126461', '45.4661768607']}"
176,CLUB HAUS 80'S (ex DE SADE),9.18260472012297,45.4942958664626,"{'type': 'Point', 'coordinates': ['9.18260472012297', '45.4942958664626']}"
177,ALCATRAZ,9.18260472012297,45.4942958664626,"{'type': 'Point', 'coordinates': ['9.18260472012297', '45.4942958664626']}"
178,BLUE EYES,9.23505767072,45.4616846302,"{'type': 'Point', 'coordinates': ['9.23505767072', '45.4616846302']}"
179,sans egal,9.18568799743,45.47212461,"{'type': 'Point', 'coordinates': ['9.18568799743', '45.47212461']}"
180,totem pub,9.17693664031,45.4488111983,"{'type': 'Point', 'coordinates': ['9.17693664031', '45.4488111983']}"
181,bar doria,9.21841900528,45.4759797369,"{'type': 'Point', 'coordinates': ['9.21841900528', '45.4759797369']}"
182,la scogliera 2,9.15302076082,45.4915644247,"{'type': 'Point', 'coordinates': ['9.15302076082', '45.4915644247']}"
183,copacabana,9.17553149026,45.5040173031,"{'type': 'Point', 'coordinates': ['9.17553149026', '45.5040173031']}"
184,EL JADIDA,9.18838611915,45.4419918686,"{'type': 'Point', 'coordinates': ['9.18838611915', '45.4419918686']}"
185,pacino caffe,9.21452509593,45.4811605588,"{'type': 'Point', 'coordinates': ['9.21452509593', '45.4811605588']}"
186,osteria cantamilano,9.17330158391,45.4527008626,"{'type': 'Point', 'coordinates': ['9.17330158391', '45.4527008626']}"
187,la corte della risaia,9.13959618614,45.4275228281,"{'type': 'Point', 'coordinates': ['9.13959618614', '45.4275228281']}"
188,barrio s,null,null,
189,new for you,9.17328100024,45.4571964461,"{'type': 'Point', 'coordinates': ['9.17328100024', '45.4571964461']}"
190,art factory,9.21126973704,45.4857145896,"{'type': 'Point', 'coordinates': ['9.21126973704', '45.4857145896']}"
191,TA BONITO,9.16018547065,45.4437749908,"{'type': 'Point', 'coordinates': ['9.16018547065', '45.4437749908']}"
192,SEMPIONE CAFE',9.17451398531,45.4772051852,"{'type': 'Point', 'coordinates': ['9.17451398531', '45.4772051852']}"
193,MIAMI LOUNGE MILANO,9.18815849421,45.4810021557,"{'type': 'Point', 'coordinates': ['9.18815849421', '45.4810021557']}"
194,INSOMNIA PUB,9.2439149387,45.5181660665,"{'type': 'Point', 'coordinates': ['9.2439149387', '45.5181660665']}"
195,BLACK HOLE,9.21777174947339,45.4608308586914,"{'type': 'Point', 'coordinates': ['9.21777174947339', '45.4608308586914']}"
196,pitbull cafe,9.18722658883,45.4821906301,"{'type': 'Point', 'coordinates': ['9.18722658883', '45.4821906301']}"
197,caffe novecento,9.18710663948,45.4817916457,"{'type': 'Point', 'coordinates': ['9.18710663948', '45.4817916457']}"
198,la sacrestia,9.17692306462,45.4457567904,"{'type': 'Point', 'coordinates': ['9.17692306462', '45.4457567904']}"
199,isola della birra,9.18551067835,45.4893713922,"{'type': 'Point', 'coordinates': ['9.18551067835', '45.4893713922']}"
200,memphis cafe,9.20013688641,45.4489391044,"{'type': 'Point', 'coordinates': ['9.20013688641', '45.4489391044']}"
201,LOOLAPALOOSA,9.18722592336,45.4826225026,"{'type': 'Point', 'coordinates': ['9.18722592336', '45.4826225026']}"
202,ristorante las palmeras,9.23867303894,45.4330912998,"{'type': 'Point', 'coordinates': ['9.23867303894', '45.4330912998']}"
203,rio s,9.1956485786,45.4904261491,"{'type': 'Point', 'coordinates': ['9.1956485786', '45.4904261491']}"
204,PORTA D'ORO,9.19040816621,45.462327661,"{'type': 'Point', 'coordinates': ['9.19040816621', '45.462327661']}"
205,ragoo,9.22231911413,45.5039732162,"{'type': 'Point', 'coordinates': ['9.22231911413', '45.5039732162']}"
206,bar brera,9.18744603431,45.4723787241,"{'type': 'Point', 'coordinates': ['9.18744603431', '45.4723787241']}"
207,ristorante coreano hana,9.2050803258,45.4781363723,"{'type': 'Point', 'coordinates': ['9.2050803258', '45.4781363723']}"
208,karaoke insieme,9.21849330663,45.4913889199,"{'type': 'Point', 'coordinates': ['9.21849330663', '45.4913889199']}"
209,GATTOPARDO MILANO DISCO CLUB,9.16155857043,45.4852199754,"{'type': 'Point', 'coordinates': ['9.16155857043', '45.4852199754']}"
210,roxanne cafe,9.17818853037,45.4515540225,"{'type': 'Point', 'coordinates': ['9.17818853037', '45.4515540225']}"
211,JAZZ CAFE',9.17061142968,45.4773494666,"{'type': 'Point', 'coordinates': ['9.17061142968', '45.4773494666']}"
212,NEW MADISON,9.13895676668,45.4974523901,"{'type': 'Point', 'coordinates': ['9.13895676668', '45.4974523901']}"
213,KING,9.18917489574,45.4614965432,"{'type': 'Point', 'coordinates': ['9.18917489574', '45.4614965432']}"
214,MURPHY'S LAW,9.16655209183,45.4551608083,"{'type': 'Point', 'coordinates': ['9.16655209183', '45.4551608083']}"
215,BLOODY MARY,9.23919990139,45.4910523526,"{'type': 'Point', 'coordinates': ['9.23919990139', '45.4910523526']}"
216,CHI MI AMA,9.12963272452,45.496368003,"{'type': 'Point', 'coordinates': ['9.12963272452', '45.496368003']}"
217,SALA NUOVO BOCCIODROMO (400),9.17570037475,45.4225415882,"{'type': 'Point', 'coordinates': ['9.17570037475', '45.4225415882']}"
218,QUANTIC,9.19305175375,45.4622557301,"{'type': 'Point', 'coordinates': ['9.19305175375', '45.4622557301']}"
219,RISTORANTE AL BORGO,9.16842014264,45.4887162458,"{'type': 'Point', 'coordinates': ['9.16842014264', '45.4887162458']}"
220,EXECUTIVE LOUNGE,9.18636732815,45.4834909617,"{'type': 'Point', 'coordinates': ['9.18636732815', '45.4834909617']}"
221,FINGER'S GARDEN,9.19866503892,45.4927766175,"{'type': 'Point', 'coordinates': ['9.19866503892', '45.4927766175']}"
222,ROCKING HORSE,9.18807102201,45.4821308371,"{'type': 'Point', 'coordinates': ['9.18807102201', '45.4821308371']}"
223,SIO CAFE',null,null,
224,DUDE CLUB,9.23040578592,45.4384971787,"{'type': 'Point', 'coordinates': ['9.23040578592', '45.4384971787']}"
