,insegna,LONG_WGS84,LAT_WGS84,geopoint
289,lo stacco,9.20049231073,45.4306893425,"{'type': 'Point', 'coordinates': ['9.20049231073', '45.4306893425']}"
290,blanco,9.21138171929,45.4768167341,"{'type': 'Point', 'coordinates': ['9.21138171929', '45.4768167341']}"
291,duke restaurant lounge bar,9.18949569257,45.4611544421,"{'type': 'Point', 'coordinates': ['9.18949569257', '45.4611544421']}"
292,al piccolo ristoro,9.20195700304,45.4368883087,"{'type': 'Point', 'coordinates': ['9.20195700304', '45.4368883087']}"
293,KARAOKE BAOLIJIN,9.1751575031,45.4812631659,"{'type': 'Point', 'coordinates': ['9.1751575031', '45.4812631659']}"
294,CHATULLE,9.16010836137974,45.4863311549973,"{'type': 'Point', 'coordinates': ['9.16010836137974', '45.4863311549973']}"
295,TEATRO PRINCIPE,9.19378393067,45.4507985529,"{'type': 'Point', 'coordinates': ['9.19378393067', '45.4507985529']}"
296,BASE MILANO,9.1625336832,45.4518131915,"{'type': 'Point', 'coordinates': ['9.1625336832', '45.4518131915']}"
297,PIGALLE,9.25170580834,45.4517025966,"{'type': 'Point', 'coordinates': ['9.25170580834', '45.4517025966']}"
298,BALERA DELLORTICA,9.24057771393,45.4704120065,"{'type': 'Point', 'coordinates': ['9.24057771393', '45.4704120065']}"
299,APOLLO CLUB MILANO,9.17499532629,45.4472036152,"{'type': 'Point', 'coordinates': ['9.17499532629', '45.4472036152']}"
300,AL 2CENTO,9.12373375262,45.5003990315,"{'type': 'Point', 'coordinates': ['9.12373375262', '45.5003990315']}"
301,CARLO PALACE,9.23644344338,45.5078058073,"{'type': 'Point', 'coordinates': ['9.23644344338', '45.5078058073']}"
302,FOCA LOCA,9.19153079935,45.4612676413,"{'type': 'Point', 'coordinates': ['9.19153079935', '45.4612676413']}"
303,BULLONA,9.16075715072,45.4861272708,"{'type': 'Point', 'coordinates': ['9.16075715072', '45.4861272708']}"
304,GOLD PRIVE',9.18267326746,45.4607987305,"{'type': 'Point', 'coordinates': ['9.18267326746', '45.4607987305']}"
305,ROCK 'N ROLL,9.20782240181,45.4924448979,"{'type': 'Point', 'coordinates': ['9.20782240181', '45.4924448979']}"
306,APOPHIS,9.19602034698,45.4626321586,"{'type': 'Point', 'coordinates': ['9.19602034698', '45.4626321586']}"
